event_date,event_name,event_type,country_focus,window_7_start,window_7_end,window_30_start,window_30_end,source_name,source_type,url,notes
2022-07-27,2022 United Arab Emirates floods,natural_disaster,UAE,2022-07-20,2022-08-03,2022-06-27,2022-08-26,Wikipedia,event_page,https://en.wikipedia.org/wiki/2022_United_Arab_Emirates_floods,Heavy-rain flooding in Fujairah and northern Emirates
2022-09-01,Russian strikes against Ukrainian infrastructure,conflict_event,"Russia,Ukraine",2022-08-25,2022-09-08,2022-08-02,2022-10-01,Wikipedia,event_page,https://en.wikipedia.org/wiki/Russian_strikes_against_Ukrainian_infrastructure,Attacks on Ukrainian energy and infrastructure
2022-09-16,Mahsa Amini protests,major_event,Iran,2022-09-09,2022-09-23,2022-08-17,2022-10-16,Wikipedia,event_page,https://en.wikipedia.org/wiki/Mahsa_Amini_protests,Nationwide protests after death of Mahsa Amini
2022-09-23,Hurricane Ian,natural_disaster,United States,2022-09-16,2022-09-30,2022-08-24,2022-10-23,Wikipedia,event_page,https://en.wikipedia.org/wiki/Hurricane_Ian,Category 5 hurricane affecting Florida
2022-10-08,2022 Crimean Bridge explosion,"conflict_event,major_event",Ukraine,2022-10-01,2022-10-15,2022-09-08,2022-11-07,Wikipedia,event_page,https://en.wikipedia.org/wiki/2022_Crimean_Bridge_explosion,Explosion on Crimean Bridge in war context
2023-06-06,Destruction of the Kakhovka Dam,"major_event,natural_disaster",Ukraine,2023-05-30,2023-06-13,2023-05-07,2023-07-06,Wikipedia,event_page,https://en.wikipedia.org/wiki/Destruction_of_the_Kakhovka_Dam,Dam destruction causing flood disaster
2023-06-23,Wagner Group rebellion,conflict_event,Russia,2023-06-16,2023-06-30,2023-05-24,2023-07-23,Wikipedia,event_page,https://en.wikipedia.org/wiki/Wagner_Group_rebellion,Armed rebellion by Wagner Group
2023-08-08,2023 Hawaii wildfires,natural_disaster,United States,2023-08-01,2023-08-15,2023-07-09,2023-09-07,Wikipedia,event_page,https://en.wikipedia.org/wiki/2023_Hawaii_wildfires,Deadly Maui wildfires
2023-10-10,Battle of Avdiivka (2023–2024),conflict_event,Ukraine,2023-10-03,2023-10-17,2023-09-10,2023-11-09,Wikipedia,event_page,https://en.wikipedia.org/wiki/Battle_of_Avdiivka_%282023%E2%80%932024%29,Major battle in Donetsk region
2023-11-30,2023 United Nations Climate Change Conference,major_event,UAE,2023-11-23,2023-12-07,2023-10-31,2023-12-30,Wikipedia,event_page,https://en.wikipedia.org/wiki/2023_United_Nations_Climate_Change_Conference,COP28 climate summit in Dubai
2024-01-03,2024 Kerman bombings,terror_attack,Iran,2023-12-27,2024-01-10,2023-12-04,2024-02-02,Wikipedia,event_page,https://en.wikipedia.org/wiki/2024_Kerman_bombings,Twin bombings in Kerman
2024-03-22,Crocus City Hall attack,terror_attack,Russia,2024-03-15,2024-03-29,2024-02-21,2024-04-21,Wikipedia,event_page,https://en.wikipedia.org/wiki/Crocus_City_Hall_attack,Mass shooting and arson near Moscow
2024-04-01,2024 Iran–Israel conflict,conflict_event,Iran,2024-03-25,2024-04-08,2024-03-02,2024-05-01,Wikipedia,event_page,https://en.wikipedia.org/wiki/2024_Iran%E2%80%93Israel_conflict,Escalation between Iran and Israel in 2024
2024-04-13,April 2024 Iranian strikes on Israel,conflict_event,Iran,2024-04-06,2024-04-20,2024-03-14,2024-05-13,Wikipedia,event_page,https://en.wikipedia.org/wiki/April_2024_Iranian_strikes_on_Israel,Iranian drone and missile strike on Israel
2024-04-16,2024 United Arab Emirates floods,natural_disaster,UAE,2024-04-09,2024-04-23,2024-03-17,2024-05-16,Wikipedia,event_page,https://en.wikipedia.org/wiki/2024_United_Arab_Emirates_floods,Record rainfall and major flooding across the UAE
2024-08-06,Ukrainian occupation of Kursk Oblast,conflict_event,"Russia,Ukraine",2024-07-30,2024-08-13,2024-07-07,2024-09-05,Wikipedia,event_page,https://en.wikipedia.org/wiki/Ukrainian_occupation_of_Kursk_Oblast,Cross-border Ukrainian offensive into Kursk
2024-09-24,Hurricane Helene,natural_disaster,United States,2024-09-17,2024-10-01,2024-08-25,2024-10-24,Wikipedia,event_page,https://en.wikipedia.org/wiki/Hurricane_Helene,Major hurricane affecting the southeastern United States
2025-06-03,2025 Crimean Bridge explosion,"conflict_event,major_event",Ukraine,2025-05-27,2025-06-10,2025-05-04,2025-07-03,Wikipedia,event_page,https://en.wikipedia.org/wiki/2025_Crimean_Bridge_explosion,Attack on Crimean Bridge in war context
